Date (2020),District(s),Origin,Cases,Cases,Type of transmission,Source(s)
September-9,"Alappuzha (240), Ernakulam (276), Idukki (24), Kannur (251), Kasargod (270), Kollam (362), Kottayam (196), Kozhikode (330), Malappuram (201), Palakkad (131), Pathanamthitta (190), Thiruvananthapuram (531), Thrissur (323), Wayanad (77)",Overseas,46,95917,T,
September-10,"Alappuzha (267), Ernakulam (227), Idukki (105), Kannur (276), Kasargod (140), Kollam (244), Kottayam (217), Kozhikode (261), Malappuram (330), Palakkad (194), Pathanamthitta (135), Thiruvananthapuram (558), Thrissur (300), Wayanad (95)",None,3134,99266,PTP,
September-10,"Alappuzha (267), Ernakulam (227), Idukki (105), Kannur (276), Kasargod (140), Kollam (244), Kottayam (217), Kozhikode (261), Malappuram (330), Palakkad (194), Pathanamthitta (135), Thiruvananthapuram (558), Thrissur (300), Wayanad (95)",Other states,165,99266,T,
September-10,"Alappuzha (267), Ernakulam (227), Idukki (105), Kannur (276), Kasargod (140), Kollam (244), Kottayam (217), Kozhikode (261), Malappuram (330), Palakkad (194), Pathanamthitta (135), Thiruvananthapuram (558), Thrissur (300), Wayanad (95)",Overseas,50,99266,T,
September-11,"Alappuzha (200), Ernakulam (295), Idukki (28), Kannur (256), Kasargod (102), Kollam (303), Kottayam (221), Kozhikode (261), Malappuram (390), Palakkad (109), Pathanamthitta (93), Thiruvananthapuram (494), Thrissur (184), Wayanad (52)",None,2809,102254,PTP,
September-11,"Alappuzha (200), Ernakulam (295), Idukki (28), Kannur (256), Kasargod (102), Kollam (303), Kottayam (221), Kozhikode (261), Malappuram (390), Palakkad (109), Pathanamthitta (93), Thiruvananthapuram (494), Thrissur (184), Wayanad (52)",Other states,134,102254,T,
September-11,"Alappuzha (200), Ernakulam (295), Idukki (28), Kannur (256), Kasargod (102), Kollam (303), Kottayam (221), Kozhikode (261), Malappuram (390), Palakkad (109), Pathanamthitta (93), Thiruvananthapuram (494), Thrissur (184), Wayanad (52)",Overseas,45,102254,T,
September-12,"Alappuzha (163), Ernakulam (188), Idukki (86), Kannur (207), Kasargod (150), Kollam (265), Kottayam (166), Kozhikode (286), Malappuram (310), Palakkad (184), Pathanamthitta (88), Thiruvananthapuram (566), Thrissur (172), Wayanad (54)",None,2706,105139,PTP,
September-12,"Alappuzha (163), Ernakulam (188), Idukki (86), Kannur (207), Kasargod (150), Kollam (265), Kottayam (166), Kozhikode (286), Malappuram (310), Palakkad (184), Pathanamthitta (88), Thiruvananthapuram (566), Thrissur (172), Wayanad (54)",Other states,137,105139,T,
September-12,"Alappuzha (163), Ernakulam (188), Idukki (86), Kannur (207), Kasargod (150), Kollam (265), Kottayam (166), Kozhikode (286), Malappuram (310), Palakkad (184), Pathanamthitta (88), Thiruvananthapuram (566), Thrissur (172), Wayanad (54)",Overseas,42,105139,T,
September-13,"Alappuzha (252), Ernakulam (326), Idukki (40), Kannur (234), Kasargod (124), Kollam (205), Kottayam (196), Kozhikode (399), Malappuram (378), Palakkad (233), Pathanamthitta (102), Thiruvananthapuram (412), Thrissur (182), Wayanad (56)",None,2977,108278,PTP,
September-13,"Alappuzha (252), Ernakulam (326), Idukki (40), Kannur (234), Kasargod (124), Kollam (205), Kottayam (196), Kozhikode (399), Malappuram (378), Palakkad (233), Pathanamthitta (102), Thiruvananthapuram (412), Thrissur (182), Wayanad (56)",Other states,126,108278,T,
September-13,"Alappuzha (252), Ernakulam (326), Idukki (40), Kannur (234), Kasargod (124), Kollam (205), Kottayam (196), Kozhikode (399), Malappuram (378), Palakkad (233), Pathanamthitta (102), Thiruvananthapuram (412), Thrissur (182), Wayanad (56)",Overseas,36,108278,T,
September-14,"Alappuzha (107), Ernakulam (255), Idukki (58), Kannur (232), Kasargod (56), Kollam (142), Kottayam (122), Kozhikode (382), Malappuram (482), Palakkad (175), Pathanamthitta (16), Thiruvananthapuram (332), Thrissur (161), Wayanad (20)",None,2433,110818,PTP,
September-14,"Alappuzha (107), Ernakulam (255), Idukki (58), Kannur (232), Kasargod (56), Kollam (142), Kottayam (122), Kozhikode (382), Malappuram (482), Palakkad (175), Pathanamthitta (16), Thiruvananthapuram (332), Thrissur (161), Wayanad (20)",Other states,73,110818,T,
September-14,"Alappuzha (107), Ernakulam (255), Idukki (58), Kannur (232), Kasargod (56), Kollam (142), Kottayam (122), Kozhikode (382), Malappuram (482), Palakkad (175), Pathanamthitta (16), Thiruvananthapuram (332), Thrissur (161), Wayanad (20)",Overseas,34,110818,T,
September-15,"Alappuzha (338), Ernakulam (239), Idukki (29), Kannur (213), Kasargod (172), Kollam (234), Kottayam (192), Kozhikode (260), Malappuram (348), Palakkad (136), Pathanamthitta (146), Thiruvananthapuram (656), Thrissur (188), Wayanad (64)",None,3102,114033,PTP,
September-15,"Alappuzha (338), Ernakulam (239), Idukki (29), Kannur (213), Kasargod (172), Kollam (234), Kottayam (192), Kozhikode (260), Malappuram (348), Palakkad (136), Pathanamthitta (146), Thiruvananthapuram (656), Thrissur (188), Wayanad (64)",Other states,70,114033,T,
September-15,"Alappuzha (338), Ernakulam (239), Idukki (29), Kannur (213), Kasargod (172), Kollam (234), Kottayam (192), Kozhikode (260), Malappuram (348), Palakkad (136), Pathanamthitta (146), Thiruvananthapuram (656), Thrissur (188), Wayanad (64)",Overseas,43,114033,T,
September-16,"Alappuzha (323), Ernakulam (319), Idukki (76), Kannur (247), Kasargod (119), Kollam (300), Kottayam (187), Kozhikode (468), Malappuram (298), Palakkad (220), Pathanamthitta (236), Thiruvananthapuram (675), Thrissur (263), Wayanad (99)",None,3628,117863,PTP,
September-16,"Alappuzha (323), Ernakulam (319), Idukki (76), Kannur (247), Kasargod (119), Kollam (300), Kottayam (187), Kozhikode (468), Malappuram (298), Palakkad (220), Pathanamthitta (236), Thiruvananthapuram (675), Thrissur (263), Wayanad (99)",Other states,153,117863,T,
September-16,"Alappuzha (323), Ernakulam (319), Idukki (76), Kannur (247), Kasargod (119), Kollam (300), Kottayam (187), Kozhikode (468), Malappuram (298), Palakkad (220), Pathanamthitta (236), Thiruvananthapuram (675), Thrissur (263), Wayanad (99)",Overseas,49,117863,T,
September-17,"Alappuzha (367), Ernakulam (383), Idukki (104), Kannur (260), Kasargod (319), Kollam (218), Kottayam (204), Kozhikode (545), Malappuram (351), Palakkad (241), Pathanamthitta (136), Thiruvananthapuram (820), Thrissur (296), Wayanad (107)",None,4333,122394,PTP,
September-17,"Alappuzha (367), Ernakulam (383), Idukki (104), Kannur (260), Kasargod (319), Kollam (218), Kottayam (204), Kozhikode (545), Malappuram (351), Palakkad (241), Pathanamthitta (136), Thiruvananthapuram (820), Thrissur (296), Wayanad (107)",Other states,141,122394,T,
September-17,"Alappuzha (367), Ernakulam (383), Idukki (104), Kannur (260), Kasargod (319), Kollam (218), Kottayam (204), Kozhikode (545), Malappuram (351), Palakkad (241), Pathanamthitta (136), Thiruvananthapuram (820), Thrissur (296), Wayanad (107)",Overseas,57,122394,T,
September-18,"Alappuzha (274), Ernakulam (348), Idukki (100), Kannur (330), Kasargod (145), Kollam (355), Kottayam (225), Kozhikode (404), Malappuram (297), Palakkad (268), Pathanamthitta (101), Thiruvananthapuram (926), Thrissur (326), Wayanad (68)",None,3954,126561,PTP,
September-18,"Alappuzha (274), Ernakulam (348), Idukki (100), Kannur (330), Kasargod (145), Kollam (355), Kottayam (225), Kozhikode (404), Malappuram (297), Palakkad (268), Pathanamthitta (101), Thiruvananthapuram (926), Thrissur (326), Wayanad (68)",Other states,165,126561,T,
September-18,"Alappuzha (274), Ernakulam (348), Idukki (100), Kannur (330), Kasargod (145), Kollam (355), Kottayam (225), Kozhikode (404), Malappuram (297), Palakkad (268), Pathanamthitta (101), Thiruvananthapuram (926), Thrissur (326), Wayanad (68)",Overseas,48,126561,T,
September-19,"Alappuzha (348), Ernakulam (351), Idukki (47), Kannur (222), Kasargod (191), Kollam (436), Kottayam (263), Kozhikode (412), Malappuram (534), Palakkad (349), Pathanamthitta (221), Thiruvananthapuram (824), Thrissur (351), Wayanad (95)",None,4379,131205,PTP,
September-19,"Alappuzha (348), Ernakulam (351), Idukki (47), Kannur (222), Kasargod (191), Kollam (436), Kottayam (263), Kozhikode (412), Malappuram (534), Palakkad (349), Pathanamthitta (221), Thiruvananthapuram (824), Thrissur (351), Wayanad (95)",Other states,229,131205,T,
September-19,"Alappuzha (348), Ernakulam (351), Idukki (47), Kannur (222), Kasargod (191), Kollam (436), Kottayam (263), Kozhikode (412), Malappuram (534), Palakkad (349), Pathanamthitta (221), Thiruvananthapuram (824), Thrissur (351), Wayanad (95)",Overseas,36,131205,T,
September-20,"Alappuzha (219), Ernakulam (537), Idukki (77), Kannur (242), Kasargod (208), Kollam (330), Kottayam (274), Kozhikode (536), Malappuram (483), Palakkad (289), Pathanamthitta (190), Thiruvananthapuram (892), Thrissur (322), Wayanad (97)",None,4515,135901,PTP,
September-20,"Alappuzha (219), Ernakulam (537), Idukki (77), Kannur (242), Kasargod (208), Kollam (330), Kottayam (274), Kozhikode (536), Malappuram (483), Palakkad (289), Pathanamthitta (190), Thiruvananthapuram (892), Thrissur (322), Wayanad (97)",Other states,137,135901,T,
September-20,"Alappuzha (219), Ernakulam (537), Idukki (77), Kannur (242), Kasargod (208), Kollam (330), Kottayam (274), Kozhikode (536), Malappuram (483), Palakkad (289), Pathanamthitta (190), Thiruvananthapuram (892), Thrissur (322), Wayanad (97)",Overseas,44,135901,T,
September-21,"Alappuzha (112), Ernakulam (299), Idukki (82), Kannur (314), Kasargod (110), Kollam (195), Kottayam (156), Kozhikode (376), Malappuram (349), Palakkad (167), Pathanamthitta (18), Thiruvananthapuram (533), Thrissur (183), Wayanad (18)",None,2741,138811,PTP,
September-21,"Alappuzha (112), Ernakulam (299), Idukki (82), Kannur (314), Kasargod (110), Kollam (195), Kottayam (156), Kozhikode (376), Malappuram (349), Palakkad (167), Pathanamthitta (18), Thiruvananthapuram (533), Thrissur (183), Wayanad (18)",Other states,133,138811,T,
September-21,"Alappuzha (112), Ernakulam (299), Idukki (82), Kannur (314), Kasargod (110), Kollam (195), Kottayam (156), Kozhikode (376), Malappuram (349), Palakkad (167), Pathanamthitta (18), Thiruvananthapuram (533), Thrissur (183), Wayanad (18)",Overseas,36,138811,T,
September-22,"Alappuzha (403), Ernakulam (406), Idukki (42), Kannur (143), Kasargod (197), Kollam (347), Kottayam (169), Kozhikode (394), Malappuram (444), Palakkad (242), Pathanamthitta (207), Thiruvananthapuram (681), Thrissur (369), Wayanad (81)",None,3970,142936,PTP,
September-22,"Alappuzha (403), Ernakulam (406), Idukki (42), Kannur (143), Kasargod (197), Kollam (347), Kottayam (169), Kozhikode (394), Malappuram (444), Palakkad (242), Pathanamthitta (207), Thiruvananthapuram (681), Thrissur (369), Wayanad (81)",Other states,122,142936,T,
September-22,"Alappuzha (403), Ernakulam (406), Idukki (42), Kannur (143), Kasargod (197), Kollam (347), Kottayam (169), Kozhikode (394), Malappuram (444), Palakkad (242), Pathanamthitta (207), Thiruvananthapuram (681), Thrissur (369), Wayanad (81)",Overseas,33,142936,T,
September-23,"Alappuzha (501), Ernakulam (624), Idukki (79), Kannur (365), Kasargod (136), Kollam (503), Kottayam (262), Kozhikode (504), Malappuram (512), Palakkad (278), Pathanamthitta (223), Thiruvananthapuram (852), Thrissur (478), Wayanad (59)",None,5172,148132,PTP,
September-23,"Alappuzha (501), Ernakulam (624), Idukki (79), Kannur (365), Kasargod (136), Kollam (503), Kottayam (262), Kozhikode (504), Malappuram (512), Palakkad (278), Pathanamthitta (223), Thiruvananthapuram (852), Thrissur (478), Wayanad (59)",Other states,140,148132,T,
September-23,"Alappuzha (501), Ernakulam (624), Idukki (79), Kannur (365), Kasargod (136), Kollam (503), Kottayam (262), Kozhikode (504), Malappuram (512), Palakkad (278), Pathanamthitta (223), Thiruvananthapuram (852), Thrissur (478), Wayanad (59)",Overseas,64,148132,T,
September-24,"Alappuzha (453), Ernakulam (590), Idukki (151), Kannur (406), Kasargod (300), Kollam (440), Kottayam (341), Kozhikode (883), Malappuram (763), Palakkad (353), Pathanamthitta (189), Thiruvananthapuram (875), Thrissur (474), Wayanad (106)",None,6054,154636,PTP,
September-24,"Alappuzha (453), Ernakulam (590), Idukki (151), Kannur (406), Kasargod (300), Kollam (440), Kottayam (341), Kozhikode (883), Malappuram (763), Palakkad (353), Pathanamthitta (189), Thiruvananthapuram (875), Thrissur (474), Wayanad (106)",Other states,226,154636,T,
September-24,"Alappuzha (453), Ernakulam (590), Idukki (151), Kannur (406), Kasargod (300), Kollam (440), Kottayam (341), Kozhikode (883), Malappuram (763), Palakkad (353), Pathanamthitta (189), Thiruvananthapuram (875), Thrissur (474), Wayanad (106)",Overseas,44,154636,T,
September-25,"Alappuzha (551), Ernakulam (655), Idukki (114), Kannur (419), Kasargod (268), Kollam (569), Kottayam (322), Kozhikode (690), Malappuram (784), Palakkad (353), Pathanamthitta (191), Thiruvananthapuram (814), Thrissur (607), Wayanad (74)",None,6221,161113,PTP,
September-25,"Alappuzha (551), Ernakulam (655), Idukki (114), Kannur (419), Kasargod (268), Kollam (569), Kottayam (322), Kozhikode (690), Malappuram (784), Palakkad (353), Pathanamthitta (191), Thiruvananthapuram (814), Thrissur (607), Wayanad (74)",Other states,198,161113,T,
September-25,"Alappuzha (551), Ernakulam (655), Idukki (114), Kannur (419), Kasargod (268), Kollam (569), Kottayam (322), Kozhikode (690), Malappuram (784), Palakkad (353), Pathanamthitta (191), Thiruvananthapuram (814), Thrissur (607), Wayanad (74)",Overseas,58,161113,T,
September-26,"Alappuzha (414), Ernakulam (729), Idukki (107), Kannur (435), Kasargod (224), Kollam (389), Kottayam (322), Kozhikode (684), Malappuram (826), Palakkad (547), Pathanamthitta (329), Thiruvananthapuram (1050), Thrissur (594), Wayanad (89)",None,6761,168119,PTP,
September-26,"Alappuzha (414), Ernakulam (729), Idukki (107), Kannur (435), Kasargod (224), Kollam (389), Kottayam (322), Kozhikode (684), Malappuram (826), Palakkad (547), Pathanamthitta (329), Thiruvananthapuram (1050), Thrissur (594), Wayanad (89)",Other states,177,168119,T,
September-26,"Alappuzha (414), Ernakulam (729), Idukki (107), Kannur (435), Kasargod (224), Kollam (389), Kottayam (322), Kozhikode (684), Malappuram (826), Palakkad (547), Pathanamthitta (329), Thiruvananthapuram (1050), Thrissur (594), Wayanad (89)",Overseas,68,168119,T,
September-27,"Alappuzha (476), Ernakulam (924), Idukki (125), Kannur (332), Kasargod (252), Kollam (690), Kottayam (426), Kozhikode (956), Malappuram (915), Palakkad (488), Pathanamthitta (263), Thiruvananthapuram (853), Thrissur (573), Wayanad (175)",None,7074,175384,PTP,
September-27,"Alappuzha (476), Ernakulam (924), Idukki (125), Kannur (332), Kasargod (252), Kollam (690), Kottayam (426), Kozhikode (956), Malappuram (915), Palakkad (488), Pathanamthitta (263), Thiruvananthapuram (853), Thrissur (573), Wayanad (175)",Other states,309,175384,T,
September-27,"Alappuzha (476), Ernakulam (924), Idukki (125), Kannur (332), Kasargod (252), Kollam (690), Kottayam (426), Kozhikode (956), Malappuram (915), Palakkad (488), Pathanamthitta (263), Thiruvananthapuram (853), Thrissur (573), Wayanad (175)",Overseas,62,175384,T,
September-28,"Alappuzha (249), Ernakulam (537), Idukki (114), Kannur (310), Kasargod (122), Kollam (341), Kottayam (213), Kozhikode (918), Malappuram (405), Palakkad (378), Pathanamthitta (38), Thiruvananthapuram (486), Thrissur (383), Wayanad (44)",None,4325,179922,PTP,
September-28,"Alappuzha (249), Ernakulam (537), Idukki (114), Kannur (310), Kasargod (122), Kollam (341), Kottayam (213), Kozhikode (918), Malappuram (405), Palakkad (378), Pathanamthitta (38), Thiruvananthapuram (486), Thrissur (383), Wayanad (44)",Other states,166,179922,T,
September-28,"Alappuzha (249), Ernakulam (537), Idukki (114), Kannur (310), Kasargod (122), Kollam (341), Kottayam (213), Kozhikode (918), Malappuram (405), Palakkad (378), Pathanamthitta (38), Thiruvananthapuram (486), Thrissur (383), Wayanad (44)",Overseas,47,179922,T,
September-29,"Alappuzha (524), Ernakulam (859), Idukki (57), Kannur (432), Kasargod (453), Kollam (583), Kottayam (336), Kozhikode (837), Malappuram (1040), Palakkad (374), Pathanamthitta (271), Thiruvananthapuram (935), Thrissur (484), Wayanad (169)",None,7166,187276,PTP,
September-29,"Alappuzha (524), Ernakulam (859), Idukki (57), Kannur (432), Kasargod (453), Kollam (583), Kottayam (336), Kozhikode (837), Malappuram (1040), Palakkad (374), Pathanamthitta (271), Thiruvananthapuram (935), Thrissur (484), Wayanad (169)",Other states,130,187276,T,
September-29,"Alappuzha (524), Ernakulam (859), Idukki (57), Kannur (432), Kasargod (453), Kollam (583), Kottayam (336), Kozhikode (837), Malappuram (1040), Palakkad (374), Pathanamthitta (271), Thiruvananthapuram (935), Thrissur (484), Wayanad (169)",Overseas,58,187276,T,
September-30,"Alappuzha (679), Ernakulam (1056), Idukki (157), Kannur (519), Kasargod (321), Kollam (812), Kottayam (442), Kozhikode (942), Malappuram (977), Palakkad (631), Pathanamthitta (286), Thiruvananthapuram (986), Thrissur (808), Wayanad (214)",None,8608,196106,PTP,
September-30,"Alappuzha (679), Ernakulam (1056), Idukki (157), Kannur (519), Kasargod (321), Kollam (812), Kottayam (442), Kozhikode (942), Malappuram (977), Palakkad (631), Pathanamthitta (286), Thiruvananthapuram (986), Thrissur (808), Wayanad (214)",Other states,164,196106,T,
September-30,"Alappuzha (679), Ernakulam (1056), Idukki (157), Kannur (519), Kasargod (321), Kollam (812), Kottayam (442), Kozhikode (942), Malappuram (977), Palakkad (631), Pathanamthitta (286), Thiruvananthapuram (986), Thrissur (808), Wayanad (214)",Overseas,58,196106,T,
October-1,"Alappuzha (804), Ernakulam (934), Idukki (130), Kannur (435), Kasargod (471), Kollam (633), Kottayam (340), Kozhikode (1072), Malappuram (968), Palakkad (513), Pathanamthitta (223), Thiruvananthapuram (856), Thrissur (613), Wayanad (143)",None,7013,204241,PTP,
October-1,"Alappuzha (804), Ernakulam (934), Idukki (130), Kannur (435), Kasargod (471), Kollam (633), Kottayam (340), Kozhikode (1072), Malappuram (968), Palakkad (513), Pathanamthitta (223), Thiruvananthapuram (856), Thrissur (613), Wayanad (143)",Other states,218,204241,T,
October-1,"Alappuzha (804), Ernakulam (934), Idukki (130), Kannur (435), Kasargod (471), Kollam (633), Kottayam (340), Kozhikode (1072), Malappuram (968), Palakkad (513), Pathanamthitta (223), Thiruvananthapuram (856), Thrissur (613), Wayanad (143)",Overseas,67,204241,T,
October-2,"Alappuzha (605), Ernakulam (1042), Idukki (136), Kannur (625), Kasargod (476), Kollam (892), Kottayam (432), Kozhikode (1146), Malappuram (1016), Palakkad (633), Pathanamthitta (239), Thiruvananthapuram (1096), Thrissur (812), Wayanad (108)",None,8274,213499,PTP,
October-2,"Alappuzha (605), Ernakulam (1042), Idukki (136), Kannur (625), Kasargod (476), Kollam (892), Kottayam (432), Kozhikode (1146), Malappuram (1016), Palakkad (633), Pathanamthitta (239), Thiruvananthapuram (1096), Thrissur (812), Wayanad (108)",Other states,184,213499,T,
October-2,"Alappuzha (605), Ernakulam (1042), Idukki (136), Kannur (625), Kasargod (476), Kollam (892), Kottayam (432), Kozhikode (1146), Malappuram (1016), Palakkad (633), Pathanamthitta (239), Thiruvananthapuram (1096), Thrissur (812), Wayanad (108)",Overseas,47,213499,T,
October-3,"Alappuzha (633), Ernakulam (925), Idukki (106), Kannur (423), Kasargod (257), Kollam (534), Kottayam (342), Kozhikode (941), Malappuram (973), Palakkad (496), Pathanamthitta (296), Thiruvananthapuram (1049), Thrissur (778), Wayanad (81)",None,6850,221333,PTP,
October-3,"Alappuzha (633), Ernakulam (925), Idukki (106), Kannur (423), Kasargod (257), Kollam (534), Kottayam (342), Kozhikode (941), Malappuram (973), Palakkad (496), Pathanamthitta (296), Thiruvananthapuram (1049), Thrissur (778), Wayanad (81)",Other states,187,221333,T,
October-3,"Alappuzha (633), Ernakulam (925), Idukki (106), Kannur (423), Kasargod (257), Kollam (534), Kottayam (342), Kozhikode (941), Malappuram (973), Palakkad (496), Pathanamthitta (296), Thiruvananthapuram (1049), Thrissur (778), Wayanad (81)",Overseas,49,221333,T,
October-4,"Alappuzha (544), Ernakulam (952), Idukki (96), Kannur (555), Kasargod (278), Kollam (866), Kottayam (474), Kozhikode (1164), Malappuram (792), Palakkad (496), Pathanamthitta (315), Thiruvananthapuram (1119), Thrissur (793), Wayanad (109)",None,8342,229886,PTP,
October-4,"Alappuzha (544), Ernakulam (952), Idukki (96), Kannur (555), Kasargod (278), Kollam (866), Kottayam (474), Kozhikode (1164), Malappuram (792), Palakkad (496), Pathanamthitta (315), Thiruvananthapuram (1119), Thrissur (793), Wayanad (109)",Other states,181,229886,T,
October-4,"Alappuzha (544), Ernakulam (952), Idukki (96), Kannur (555), Kasargod (278), Kollam (866), Kottayam (474), Kozhikode (1164), Malappuram (792), Palakkad (496), Pathanamthitta (315), Thiruvananthapuram (1119), Thrissur (793), Wayanad (109)",Overseas,30,229886,T,
October-5,"Alappuzha (199), Ernakulam (705), Idukki (71), Kannur (339), Kasargod (207), Kollam (458), Kottayam (354), Kozhikode (641), Malappuram (606), Palakkad (281), Pathanamthitta (25), Thiruvananthapuram (700), Thrissur (425), Wayanad (31)",None,4338,234928,PTP,
October-5,"Alappuzha (199), Ernakulam (705), Idukki (71), Kannur (339), Kasargod (207), Kollam (458), Kottayam (354), Kozhikode (641), Malappuram (606), Palakkad (281), Pathanamthitta (25), Thiruvananthapuram (700), Thrissur (425), Wayanad (31)",Other states,102,234928,T,
October-5,"Alappuzha (199), Ernakulam (705), Idukki (71), Kannur (339), Kasargod (207), Kollam (458), Kottayam (354), Kozhikode (641), Malappuram (606), Palakkad (281), Pathanamthitta (25), Thiruvananthapuram (700), Thrissur (425), Wayanad (31)",Overseas,29,234928,T,
October-6,"Alappuzha (424), Ernakulam (837), Idukki (56), Kannur (545), Kasargod (416), Kollam (845), Kottayam (427), Kozhikode (736), Malappuram (854), Palakkad (520), Pathanamthitta (330), Thiruvananthapuram (989), Thrissur (757), Wayanad (135)",None,6910,242799,PTP,
October-6,"Alappuzha (424), Ernakulam (837), Idukki (56), Kannur (545), Kasargod (416), Kollam (845), Kottayam (427), Kozhikode (736), Malappuram (854), Palakkad (520), Pathanamthitta (330), Thiruvananthapuram (989), Thrissur (757), Wayanad (135)",Other states,146,242799,T,
October-6,"Alappuzha (424), Ernakulam (837), Idukki (56), Kannur (545), Kasargod (416), Kollam (845), Kottayam (427), Kozhikode (736), Malappuram (854), Palakkad (520), Pathanamthitta (330), Thiruvananthapuram (989), Thrissur (757), Wayanad (135)",Overseas,54,242799,T,
October-7,"Alappuzha (672), Ernakulam (1201), Idukki (120), Kannur (602), Kasargod (432), Kollam (852), Kottayam (490), Kozhikode (1576), Malappuram (1350), Palakkad (650), Pathanamthitta (393), Thiruvananthapuram (1182), Thrissur (948), Wayanad (138)",None,9542,253405,PTP,
October-7,"Alappuzha (672), Ernakulam (1201), Idukki (120), Kannur (602), Kasargod (432), Kollam (852), Kottayam (490), Kozhikode (1576), Malappuram (1350), Palakkad (650), Pathanamthitta (393), Thiruvananthapuram (1182), Thrissur (948), Wayanad (138)",Other states,164,253405,T,
October-7,"Alappuzha (672), Ernakulam (1201), Idukki (120), Kannur (602), Kasargod (432), Kollam (852), Kottayam (490), Kozhikode (1576), Malappuram (1350), Palakkad (650), Pathanamthitta (393), Thiruvananthapuram (1182), Thrissur (948), Wayanad (138)",Overseas,55,253405,T,
October-8,"Alappuzha (317), Ernakulam (391), Idukki (121), Kannur (377), Kasargod (236), Kollam (497), Kottayam (231), Kozhikode (688), Malappuram (1024), Palakkad (285), Pathanamthitta (295), Thiruvananthapuram (467), Thrissur (385), Wayanad (131)",None,4616,258850,PTP,
October-8,"Alappuzha (317), Ernakulam (391), Idukki (121), Kannur (377), Kasargod (236), Kollam (497), Kottayam (231), Kozhikode (688), Malappuram (1024), Palakkad (285), Pathanamthitta (295), Thiruvananthapuram (467), Thrissur (385), Wayanad (131)",Other states,195,258850,T,
October-8,"Alappuzha (317), Ernakulam (391), Idukki (121), Kannur (377), Kasargod (236), Kollam (497), Kottayam (231), Kozhikode (688), Malappuram (1024), Palakkad (285), Pathanamthitta (295), Thiruvananthapuram (467), Thrissur (385), Wayanad (131)",Overseas,55,258850,T,
October-9,"Alappuzha (793), Ernakulam (911), Idukki (153), Kannur (556), Kasargod (366), Kollam (714), Kottayam (522), Kozhikode (1205), Malappuram (1174), Palakkad (672), Pathanamthitta (290), Thiruvananthapuram (1012), Thrissur (755), Wayanad (127)",None,8215,268100,PTP,
October-9,"Alappuzha (793), Ernakulam (911), Idukki (153), Kannur (556), Kasargod (366), Kollam (714), Kottayam (522), Kozhikode (1205), Malappuram (1174), Palakkad (672), Pathanamthitta (290), Thiruvananthapuram (1012), Thrissur (755), Wayanad (127)",Other states,143,268100,T,
October-9,"Alappuzha (793), Ernakulam (911), Idukki (153), Kannur (556), Kasargod (366), Kollam (714), Kottayam (522), Kozhikode (1205), Malappuram (1174), Palakkad (672), Pathanamthitta (290), Thiruvananthapuram (1012), Thrissur (755), Wayanad (127)",Overseas,24,268100,T,
October-10,"Alappuzha (843), Ernakulam (1191), Idukki (139), Kannur (727), Kasargod (539), Kollam (1107), Kottayam (523), Kozhikode (1324), Malappuram (1632), Palakkad (677), Pathanamthitta (348), Thiruvananthapuram (1310), Thrissur (1208), Wayanad (187)",None,10471,279855,PTP,
October-10,"Alappuzha (843), Ernakulam (1191), Idukki (139), Kannur (727), Kasargod (539), Kollam (1107), Kottayam (523), Kozhikode (1324), Malappuram (1632), Palakkad (677), Pathanamthitta (348), Thiruvananthapuram (1310), Thrissur (1208), Wayanad (187)",Other states,169,279855,T,
October-10,"Alappuzha (843), Ernakulam (1191), Idukki (139), Kannur (727), Kasargod (539), Kollam (1107), Kottayam (523), Kozhikode (1324), Malappuram (1632), Palakkad (677), Pathanamthitta (348), Thiruvananthapuram (1310), Thrissur (1208), Wayanad (187)",Overseas,40,279855,T,
October-11,"Alappuzha (619), Ernakulam (1228), Idukki (123), Kannur (413), Kasargod (242), Kollam (712), Kottayam (417), Kozhikode (1219), Malappuram (1451), Palakkad (640), Pathanamthitta (378), Thiruvananthapuram (797), Thrissur (960), Wayanad (148)",None,8216,289202,PTP,
October-11,"Alappuzha (619), Ernakulam (1228), Idukki (123), Kannur (413), Kasargod (242), Kollam (712), Kottayam (417), Kozhikode (1219), Malappuram (1451), Palakkad (640), Pathanamthitta (378), Thiruvananthapuram (797), Thrissur (960), Wayanad (148)",Other states,155,289202,T,
October-11,"Alappuzha (619), Ernakulam (1228), Idukki (123), Kannur (413), Kasargod (242), Kollam (712), Kottayam (417), Kozhikode (1219), Malappuram (1451), Palakkad (640), Pathanamthitta (378), Thiruvananthapuram (797), Thrissur (960), Wayanad (148)",Overseas,46,289202,T,
October-12,"Alappuzha (618), Ernakulam (480), Idukki (94), Kannur (274), Kasargod (295), Kollam (343), Kottayam (382), Kozhikode (869), Malappuram (740), Palakkad (288), Pathanamthitta (186), Thiruvananthapuram (629), Thrissur (697), Wayanad (35)",None,4767,295132,PTP,
October-12,"Alappuzha (618), Ernakulam (480), Idukki (94), Kannur (274), Kasargod (295), Kollam (343), Kottayam (382), Kozhikode (869), Malappuram (740), Palakkad (288), Pathanamthitta (186), Thiruvananthapuram (629), Thrissur (697), Wayanad (35)",Other states,86,295132,T,
October-12,"Alappuzha (618), Ernakulam (480), Idukki (94), Kannur (274), Kasargod (295), Kollam (343), Kottayam (382), Kozhikode (869), Malappuram (740), Palakkad (288), Pathanamthitta (186), Thiruvananthapuram (629), Thrissur (697), Wayanad (35)",Overseas,48,295132,T,
